CODE,MATERIAL_TYPE,NAME,INV_NAME,UNIT_CODE,ADD_SPEC,BHN_SPEC,GROUP_CODE,MAT_CATCODE,MATERIAL_SUBTYPE,DRG_NO,DRG_LOCATION,REF_PARTCODE,CUST_PARTCODE,LOC_CODE,PURH_GLACNO,PURH_SUB_GLACNO,SALE_GLACNO,SALE_SUB_GLACNO,SUPP_SUB_GLACNO,IS_EXCISABLE,EXCISE_TYPE,ABC_TYPE,IS_STKLEVELMAINTAIN,MIN_QTY,MAX_QTY,REORDER_QTY,MINORDER_QTY,PATBOX_WT,RR_WT,CASTING_WT,FINISH_WT,IS_BRANDED,TEST_CODE,COSTCENTER_CODE,CHAPTER_CODE,CHAPTER_NO,OLD_CODE,SALE_AS,REF_CODE,SCRAP_CODE,PART_SIZE,PURT_GLACNO,PURT_SUB_GLACNO,SART_GLACNO,SART_SUB_GLACNO,DRG_REVDATE,RATE,IS_GRNRECONSILATION,MAT_OWNER,CAST_GRADE,SPECIF_NO,CAST_SUB_GRADE,SUB_GRADE_SPEC,DRG_REV_NO,PURCHASE_UNIT,CONVERSION_QTY,MAT_DESPTYPE,MAT_PRODTYPE,IS_WTINPUTINSALES,MOULD_STANDWT,SPECIF_REVISION_NO,SPECIF_REVISION_DATE,TAX_CODE,PERHOUR_RATE,PATTERN_TYPE,CAVITY_NOS,MPLATE_LENGTH,MPLATE_WIDTH,LEAD_DAYS,TOLERANCE,PER_HOUR,IS_FLAG,SYSADD_DATETIME,SYSADD_LOGIN,SYSCHNG_DATETIME,SYSCHNG_LOGIN,STATUS_CODE,SYS_DATE,USER_NAME,DBK_CODE,GST_RATECATEGORY,MAT_WEIGHT,BOX_PER,MAT_RATE,BARCODE_NO,CASTING_RATE,MACHINE_RATE
1010402721,104,SLEEVE 7X6 (B),NULL,"NOS  ",NULL," ",1010208,NULL,NULL,NULL,NULL," ",NULL,101001,101000204,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010022,38241000,NULL,NULL,NULL,NULL,NULL,101000204,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090112:29:40,PRASHANT,2018090112:30:09,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402722,104,"CONTACTOR 205 AMP, 415 VAC",NULL,"NOS  ",NULL," ",1010265,NULL,NULL,NULL,NULL," ",NULL,101001,101000605,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010148,8536,NULL,NULL,NULL,NULL,NULL,101000605,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090212:50:48,PRASHANT,2018090215:01:35,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402723,104,DISTRIBUTION BOARD,NULL,"NOS  ",NULL," ",1010265,NULL,NULL,NULL,NULL," ",NULL,101001,101000605,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010148,8536,NULL,NULL,NULL,NULL,NULL,101000605,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090216:01:56,PRASHANT,2018090412:01:11,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402724,104,CPC THERMOSTATIC VALVE KIT 1619756000,NULL,"NOS  ",NULL," ",1010241,NULL,NULL,NULL,NULL," ",NULL,101001,101000612,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010141,73181110,NULL,NULL,NULL,NULL,NULL,101000612,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090412:27:09,PRASHANT,2018090412:31:00,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402725,104,CUTOFF WHEEL MACHINE,NULL,"NOS  ",NULL," ",1010278,NULL,NULL,NULL,NULL," ",NULL,101001,101000639,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010050,84672900,NULL,NULL,NULL,NULL,NULL,101000639,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090414:21:41,PRASHANT,2018090414:52:20,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402726,104,"RUBBER BUSH ",NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010183,40169390,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090611:29:41,PRASHANT,2018090911:56:38,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402727,104,DC WHEEL 5 INCH,NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010092,68042210,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090812:49:54,ADMIN,2018090812:50:27,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402728,104,CABLE CARRIER TROLLY,NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010197,8431,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:23:01,PRASHANT,2018091616:09:24,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402729,104,"BRAKE END COVER 6 TON ",NULL,"NOS  ",NULL," ",1010266,NULL,NULL,NULL,NULL," ",NULL,101001,101000606,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010197,8431,NULL,NULL,NULL,NULL,NULL,101000606,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:23:23,PRASHANT,2018092616:57:28,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402730,104,PULLEY 8 INCH X 2B SOLID,NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010064,84832000,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:23:47,PRASHANT,2018092110:47:48,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
